,0
simplified_model_s60,-1128.0873992313861
state_ri,-1145.6747950777362
simplified_model_x3,-1152.767092660758
state_ct,-1182.2511554647472
state_nj,-1191.903838640388
simplified_model_pacifica,-1197.6179924911946
state_ma,-1231.106753372984
simplified_model_kia,-1251.6149995261778
simplified_model_m-class,-1271.4200295317114
simplified_model_tsx,-1281.922930260741
state_vt,-1304.0368839045682
simplified_model_avalon,-1319.8200078865173
type_van,-1323.6081556222025
simplified_model_lesabre,-1371.0773845793706
simplified_model_century,-1416.9110631742885
state_mi,-1420.0432189978471
state_me,-1420.529281912343
simplified_model_deville,-1423.8000915324094
state_nh,-1438.479407057295
simplified_model_c,-1451.7681784214021
simplified_model_q50,-1478.3951271374958
simplified_model_qx56,-1550.0283985526353
simplified_model_explorer,-1601.475937757261
simplified_model_2,-1605.9029639739492
simplified_model_mkx,-1655.4921271676246
simplified_model_cts,-1712.0027574678843
simplified_model_q3,-1733.645293107654
condition_fair,-1751.7568828576714
simplified_model_charger,-1816.235718605975
simplified_model_i3,-1841.1462118037716
simplified_model_subaru,-1857.1300770463129
simplified_model_davidson,-1911.566597440769
simplified_model_e250,-1929.1579763696857
simplified_model_dakota,-1985.5076610123035
simplified_model_caravan,-2057.649736036935
simplified_model_3,-2084.0574603799705
simplified_model_tl,-2111.4852073987995
simplified_model_freestar,-2181.431991846983
simplified_model_mini,-2268.4800197354843
simplified_model_tribute,-2271.35335916614
simplified_model_venza,-2366.38841721693
simplified_model_3-series,-2373.6796826379336
simplified_model_rav4,-2388.8723509850474
simplified_model_acadia,-2429.777224630211
simplified_model_crv,-2433.300969674643
simplified_model_new,-2458.319517267335
simplified_model_brz,-2459.5280735482306
simplified_model_grand,-2473.6548042331087
simplified_model_vibe,-2492.2732797412186
simplified_model_matrix,-2502.077038264813
simplified_model_fx35,-2506.1200512280543
simplified_model_cr-v,-2508.2179804109137
simplified_model_a3,-2546.534909160875
simplified_model_g35,-2574.985293619789
simplified_model_frontier,-2579.0868437446848
simplified_model_mkc,-2616.7305089154943
simplified_model_1,-2651.9580549301404
simplified_model_glk-class,-2654.0752241542727
simplified_model_rabbit,-2669.1814044212038
simplified_model_pilot,-2674.6577241034433
simplified_model_saturn,-2700.3782795760494
simplified_model_touareg,-2802.2334556100463
simplified_model_gti,-2802.576449972129
simplified_model_535i,-2843.705329142048
simplified_model_accord,-2846.88910627332
type_mini-van,-2849.962243813966
simplified_model_envision,-2861.0068056973323
simplified_model_beetle,-2999.3385745594574
simplified_model_countryman,-3022.7990454873343
simplified_model_hardtop,-3084.5520032617464
simplified_model_infiniti,-3090.2646769947137
simplified_model_envoy,-3102.905636601431
simplified_model_camry,-3144.19507456256
simplified_model_xc70,-3154.266266333976
simplified_model_mkz,-3186.297873899326
simplified_model_mazda,-3191.5850713058844
simplified_model_xterra,-3249.646242006493
simplified_model_xts,-3254.893581758356
simplified_model_ats,-3258.4519876134077
simplified_model_ct,-3273.657940197809
simplified_model_golf,-3320.4773363547088
simplified_model_eos,-3393.3043705707055
simplified_model_glk,-3421.178498186409
simplified_model_town,-3473.652566989214
simplified_model_trailblazer,-3480.3383192683823
simplified_model_rendezvous,-3519.715674919487
simplified_model_srx,-3523.0803669092766
simplified_model_528i,-3550.896083404137
simplified_model_x1,-3570.524184035961
simplified_model_ion,-3601.7712834524727
simplified_model_335i,-3635.4017310760714
simplified_model_lancer,-3645.880122945626
simplified_model_crosstour,-3664.6778699715805
simplified_model_cherokee,-3736.4131350735593
simplified_model_mountaineer,-3739.5839321175476
condition_salvage,-3770.4089550180615
simplified_model_sable,-3773.8500587008507
simplified_model_pt,-3848.4034508046557
simplified_model_outback,-4076.020696139346
simplified_model_regal,-4106.798420637118
simplified_model_s40,-4158.706311753026
simplified_model_cx-9,-4225.92877372062
simplified_model_civic,-4301.081443084761
simplified_model_cx-7,-4311.083041608172
simplified_model_hyundai,-4340.623520639889
simplified_model_s80,-4343.9219283388675
simplified_model_mkt,-4350.189679856572
simplified_model_traverse,-4453.388642458941
simplified_model_edge,-4457.6228441175535
simplified_model_forester,-4487.628172071677
simplified_model_flex,-4500.85590228046
simplified_model_300,-4506.776202282417
simplified_model_milan,-4518.237841689789
simplified_model_genesis,-4551.74740582806
simplified_model_cx-5,-4578.596700711624
simplified_model_prius,-4613.998434147335
simplified_model_xv,-4615.558807081797
simplified_model_spectra,-4681.037587898082
simplified_model_pathfinder,-4690.588971537438
simplified_model_maxima,-4722.9515390651795
simplified_model_harley-davidson,-4730.363571159789
simplified_model_g37,-4735.7098987692125
