,price,year,condition,cylinders,odometer,title_status,transmission,drive,type,state,simplified_model
86048,1000,1997.0,fair,6.0,195000.0,missing,automatic,rwd,sedan,ct,bmw
86165,4100,1979.0,fair,8.0,102000.0,missing,automatic,rwd,sedan,ct,camaro
86496,5200,1960.0,Not Specified,8.0,15000.0,missing,automatic,Not Specified,Not Specified,ct,f150
87446,19900,1978.0,excellent,6.0,86000.0,missing,automatic,Not Specified,Not Specified,ct,chevrolet
87505,8500,1968.0,good,4.0,21000.0,missing,other,rwd,convertible,ct,volkswagen
87697,800,1988.0,fair,6.0,91808.0,missing,manual,rwd,pickup,ct,f150
87758,1000,2006.0,Not Specified,4.0,175600.0,missing,automatic,Not Specified,Not Specified,ct,mercedes-benz
88460,5700,2013.0,good,4.0,41000.0,missing,automatic,fwd,sedan,dc,prius
88511,1000,2014.0,Not Specified,4.0,39939.0,missing,automatic,Not Specified,Not Specified,dc,sentra
89075,1000,2014.0,Not Specified,4.0,39939.0,missing,automatic,Not Specified,Not Specified,dc,sentra
90081,1000,2014.0,Not Specified,4.0,39939.0,missing,automatic,Not Specified,Not Specified,dc,sentra
90221,6500,1988.0,good,4.0,100000.0,missing,manual,rwd,Not Specified,dc,mazda
92065,2500,1951.0,good,8.0,89000.0,missing,manual,rwd,sedan,fl,ford
94434,600,1994.0,Not Specified,4.0,123456.0,missing,manual,Not Specified,Not Specified,fl,civic
96868,243,2017.0,excellent,4.0,54962.0,missing,automatic,Not Specified,SUV,fl,mazda
96902,123,2016.0,excellent,4.0,53406.0,missing,automatic,Not Specified,sedan,fl,hyundai
97017,1500,2003.0,good,6.0,224000.0,missing,manual,rwd,truck,fl,tundra
97810,6000,1999.0,excellent,8.0,202000.0,missing,automatic,rwd,Not Specified,fl,express
98824,300,1984.0,salvage,8.0,1090.0,missing,automatic,Not Specified,Not Specified,fl,f150
99103,20000,1964.0,excellent,6.0,36804.0,missing,manual,4wd,SUV,fl,benz
99137,4000,1975.0,fair,8.0,84000.0,missing,automatic,Not Specified,Not Specified,fl,buick
100984,123,2016.0,excellent,4.0,53406.0,missing,automatic,Not Specified,sedan,fl,hyundai
102111,2000,1996.0,Not Specified,6.0,2000.0,missing,automatic,Not Specified,Not Specified,fl,wrangler
102199,2500,1951.0,good,8.0,89000.0,missing,manual,rwd,sedan,fl,ford
103450,2500,1983.0,fair,8.0,156000.0,missing,automatic,rwd,pickup,fl,sierra
103975,131,2019.0,excellent,8.0,36344.0,missing,other,Not Specified,sedan,fl,mitsubishi
104501,2500,1951.0,good,8.0,89000.0,missing,manual,rwd,sedan,fl,ford
108188,2500,1955.0,Not Specified,5.0,99.0,missing,manual,4wd,pickup,fl,jeep
